func,size,padding,block_size,time,correctness
dgemm6_ijk2, 1024, 1, 2, 6.773000s, 1
dgemm6_ikj2, 1024, 1, 2, 4.556002s, 1
dgemm6_jik2, 1024, 1, 2, 6.901179s, 1
dgemm6_jki2, 1024, 1, 2, 7.515288s, 1
dgemm6_kij2, 1024, 1, 2, 6.751625s, 1
dgemm6_kji2, 1024, 1, 2, 10.778126s, 1
dgemm6_ijk2, 1024, 1, 4, 3.805482s, 1
dgemm6_ikj2, 1024, 1, 4, 3.584279s, 1
dgemm6_jik2, 1024, 1, 4, 3.826173s, 1
dgemm6_jki2, 1024, 1, 4, 4.775202s, 1
dgemm6_kij2, 1024, 1, 4, 4.353795s, 1
dgemm6_kji2, 1024, 1, 4, 4.606577s, 1
dgemm6_ijk2, 1024, 1, 8, 3.100877s, 1
dgemm6_ikj2, 1024, 1, 8, 3.421783s, 1
dgemm6_jik2, 1024, 1, 8, 3.320541s, 1
dgemm6_jki2, 1024, 1, 8, 4.512323s, 1
dgemm6_kij2, 1024, 1, 8, 3.545970s, 1
dgemm6_kji2, 1024, 1, 8, 4.363204s, 1
dgemm6_ijk2, 1024, 1, 16, 2.952417s, 1
dgemm6_ikj2, 1024, 1, 16, 3.202092s, 1
dgemm6_jik2, 1024, 1, 16, 3.108957s, 1
dgemm6_jki2, 1024, 1, 16, 7.974457s, 1
dgemm6_kij2, 1024, 1, 16, 3.285235s, 1
dgemm6_kji2, 1024, 1, 16, 6.515217s, 1
dgemm6_ijk2, 1024, 1, 32, 2.797205s, 1
dgemm6_ikj2, 1024, 1, 32, 3.059453s, 1
dgemm6_jik2, 1024, 1, 32, 2.868765s, 1
dgemm6_jki2, 1024, 1, 32, 8.393816s, 1
dgemm6_kij2, 1024, 1, 32, 3.128887s, 1
dgemm6_kji2, 1024, 1, 32, 8.667760s, 1
dgemm6_ijk2, 1024, 1, 64, 3.067655s, 1
dgemm6_ikj2, 1024, 1, 64, 3.013979s, 1
dgemm6_jik2, 1024, 1, 64, 2.980267s, 1
dgemm6_jki2, 1024, 1, 64, 8.424959s, 1
dgemm6_kij2, 1024, 1, 64, 3.133521s, 1
dgemm6_kji2, 1024, 1, 64, 8.215948s, 1
dgemm6_ijk2, 1024, 1, 128, 3.608288s, 1
dgemm6_ikj2, 1024, 1, 128, 3.059925s, 1
dgemm6_jik2, 1024, 1, 128, 3.623296s, 1
dgemm6_jki2, 1024, 1, 128, 7.999673s, 1
dgemm6_kij2, 1024, 1, 128, 3.450309s, 1
dgemm6_kji2, 1024, 1, 128, 8.365101s, 1
dgemm6_ijk2, 2048, 1, 2, 98.504149s, 1
dgemm6_ikj2, 2048, 1, 2, 36.881694s, 1
dgemm6_jik2, 2048, 1, 2, 96.245652s, 1
dgemm6_jki2, 2048, 1, 2, 125.725225s, 1
dgemm6_kij2, 2048, 1, 2, 96.544505s, 1
dgemm6_kji2, 2048, 1, 2, 138.939499s, 1
dgemm6_ijk2, 2048, 1, 4, 43.195562s, 1
dgemm6_ikj2, 2048, 1, 4, 28.713700s, 1
dgemm6_jik2, 2048, 1, 4, 46.146150s, 1
dgemm6_jki2, 2048, 1, 4, 58.755994s, 1
dgemm6_kij2, 2048, 1, 4, 47.715541s, 1
dgemm6_kji2, 2048, 1, 4, 58.082671s, 1
dgemm6_ijk2, 2048, 1, 8, 27.824810s, 1
dgemm6_ikj2, 2048, 1, 8, 27.389243s, 1
dgemm6_jik2, 2048, 1, 8, 29.719279s, 1
dgemm6_jki2, 2048, 1, 8, 41.561388s, 1
dgemm6_kij2, 2048, 1, 8, 30.995846s, 1
dgemm6_kji2, 2048, 1, 8, 41.122611s, 1
dgemm6_ijk2, 2048, 1, 16, 24.224790s, 1
dgemm6_ikj2, 2048, 1, 16, 25.637421s, 1
dgemm6_jik2, 2048, 1, 16, 25.528180s, 1
dgemm6_jki2, 2048, 1, 16, 66.043849s, 1
dgemm6_kij2, 2048, 1, 16, 26.853189s, 1
dgemm6_kji2, 2048, 1, 16, 54.144483s, 1
dgemm6_ijk2, 2048, 1, 32, 22.617605s, 1
dgemm6_ikj2, 2048, 1, 32, 24.538563s, 1
dgemm6_jik2, 2048, 1, 32, 23.556135s, 1
dgemm6_jki2, 2048, 1, 32, 70.614684s, 1
dgemm6_kij2, 2048, 1, 32, 25.570335s, 1
dgemm6_kji2, 2048, 1, 32, 69.118501s, 1
dgemm6_ijk2, 2048, 1, 64, 23.805562s, 1
dgemm6_ikj2, 2048, 1, 64, 24.143920s, 1
dgemm6_jik2, 2048, 1, 64, 24.559656s, 1
dgemm6_jki2, 2048, 1, 64, 70.143634s, 1
dgemm6_kij2, 2048, 1, 64, 25.818074s, 1
dgemm6_kji2, 2048, 1, 64, 70.210340s, 1
dgemm6_ijk2, 2048, 1, 128, 69.943806s, 1
dgemm6_ikj2, 2048, 1, 128, 25.650959s, 1
dgemm6_jik2, 2048, 1, 128, 48.091995s, 1
dgemm6_jki2, 2048, 1, 128, 85.546107s, 1
dgemm6_kij2, 2048, 1, 128, 63.381965s, 1
dgemm6_kji2, 2048, 1, 128, 80.809126s, 1